Major Group,Sub-Major Group,Minor Group,Unit   Group,Group Title
3.0,32.0,323.0,3234.0,Housing officers
3.0,32.0,323.0,3235.0,Counsellors
3.0,32.0,323.0,3239.0,Welfare and housing associate professionals n.e.c.
3.0,33.0,323.0,,PROTECTIVE SERVICE OCCUPATIONS
3.0,33.0,331.0,,Protective Service Occupations
3.0,33.0,331.0,3311.0,NCOs and other ranks
3.0,33.0,331.0,3312.0,Police officers (sergeant and below)
3.0,33.0,331.0,3313.0,Fire service officers (watch manager and below)
3.0,33.0,331.0,3314.0,Prison service officers (below principal officer)
3.0,33.0,331.0,3315.0,Police community support officers
3.0,33.0,331.0,3319.0,Protective service associate professionals n.e.c.
3.0,34.0,331.0,,"CULTURE, MEDIA AND SPORTS OCCUPATIONS"
3.0,34.0,341.0,,"Artistic, Literary and Media Occupations"
3.0,34.0,341.0,3411.0,Artists
3.0,34.0,341.0,3412.0,"Authors, writers and translators"
3.0,34.0,341.0,3413.0,"Actors, entertainers and presenters"
3.0,34.0,341.0,3414.0,Dancers and choreographers
3.0,34.0,341.0,3415.0,Musicians
3.0,34.0,341.0,3416.0,"Arts officers, producers and directors"
3.0,34.0,341.0,3417.0,"Photographers, audio-visual and broadcasting equipment operators"
3.0,34.0,342.0,,Design Occupations
3.0,34.0,342.0,3421.0,Graphic designers
3.0,34.0,342.0,3422.0,"Product, clothing and related designers"
3.0,34.0,344.0,,Sports and Fitness Occupations
3.0,34.0,344.0,3441.0,Sports players
3.0,34.0,344.0,3442.0,"Sports coaches, instructors and officials"
3.0,34.0,344.0,3443.0,Fitness instructors
3.0,35.0,344.0,,BUSINESS AND PUBLIC SERVICE ASSOCIATE PROFESSIONALS
3.0,35.0,351.0,,Transport Associate Professionals
3.0,35.0,351.0,3511.0,Air traffic controllers
3.0,35.0,351.0,3512.0,Aircraft pilots and flight engineers
3.0,35.0,351.0,3513.0,Ship and hovercraft officers
3.0,35.0,352.0,,Legal Associate Professionals
3.0,35.0,352.0,3520.0,Legal associate professionals
3.0,35.0,353.0,,"Business, Finance and Related Associate Professionals"
3.0,35.0,353.0,3531.0,"Estimators, valuers and assessors"
3.0,35.0,353.0,3532.0,Brokers
3.0,35.0,353.0,3533.0,Insurance underwriters
3.0,35.0,353.0,3534.0,Finance and investment analysts and advisers
3.0,35.0,353.0,3535.0,Taxation experts
3.0,35.0,353.0,3536.0,Importers and exporters
3.0,35.0,353.0,3537.0,Financial and accounting technicians
3.0,35.0,353.0,3538.0,Financial accounts managers
3.0,35.0,353.0,3539.0,Business and related associate professionals n.e.c.
3.0,35.0,354.0,,"Sales, Marketing and Related Associate Professionals"
3.0,35.0,354.0,3541.0,Buyers and procurement officers
3.0,35.0,354.0,3542.0,Business sales executives
3.0,35.0,354.0,3543.0,Marketing associate professionals
3.0,35.0,354.0,3544.0,Estate agents and auctioneers
3.0,35.0,354.0,3545.0,Sales accounts and business development managers
3.0,35.0,354.0,3546.0,Conference and exhibition managers and organisers
3.0,35.0,355.0,,Conservation and Environmental Associate Professionals
3.0,35.0,355.0,3550.0,Conservation and environmental associate professionals
3.0,35.0,356.0,,Public Services and Other Associate Professionals
3.0,35.0,356.0,3561.0,Public services associate professionals
3.0,35.0,356.0,3562.0,Human resources and industrial relations officers
3.0,35.0,356.0,3563.0,Vocational and industrial trainers and instructors
